Company,Sectors,Sub Sector
Capri Global Capital Ltd,Finance,Finance & Investment
Maharashtra Scooters Ltd,Finance,Finance & Investment
Home First Finance Company India Ltd,Finance,Finance & Investment
IFCI,Finance,Finance & Investment
Choice International Ltd ,Finance,Finance & Investment
SBFC Finance,Finance,Finance & Investment
Sammaan Capital,Finance,Finance & Investment
JM Financial,Finance,Finance & Investment
Can Fin Homes,Finance,Finance & Investment
India Shelter Finance Corporation Ltd,Finance,Finance & Investment
Bengal & Assam Company Ltd,Finance,Finance & Investment
Kama Holdings,Finance,Finance & Investment
Edelweiss Financial Services Ltd,Finance,Finance & Investment
Sundaram Finance Holdings Ltd,Finance,Finance & Investment
Religare Enterprises Ltd,Finance,Finance & Investment
MAS Financial Services Ltd,Finance,Finance & Investment
Pilani Investment & Industries Corporation Ltd,Finance,Finance & Investment
Indostar Capital Finance Ltd,Finance,Finance & Investment
Nalwa Sons Investments Ltd ,Finance,Finance & Investment
Dhani Services,Finance,Finance & Investment
Share India Securities Ltd,Finance,Finance & Investment
Fedbank Financial Services Ltd ,Finance,Finance & Investment
Northern ARC Capital Ltd,Finance,Finance & Investment
Kirloskar Industries Ltd,Finance,Finance & Investment
Paisalo Digital,Finance,Finance & Investment
SG Finserve,Finance,Finance & Investment
Muthoot Microfin,Finance,Finance & Investment
Elcid Investment,Finance,Finance & Investment
Fusion Finance,Finance,Finance & Investment
Repco Home Finance Ltd,Finance,Finance & Investment
Summit Securitie,Finance,Finance & Investment
Spandana Sphoorty Financial Ltd,Finance,Finance & Investment
PTC India Financial Services Ltd,Finance,Finance & Investment
Systematix Corporate Services Ltd,Finance,Finance & Investment
Vakrangee Ltd,ITES,IT Services 
Firstsource Solution Ltd,ITES,IT Services 
Protean eGov Technologies Ltd,ITES,IT Services 
Affle India Ltd,ITES,IT Services 
Sigma Solve Ltd,ITES,IT Services 
Informed Technologies India Ltd,ITES,IT Services 
Inventurus Knowledge Solutions Ltd,ITES,IT Services 
Intrasoft Tech,ITES,IT Services 
Ace Integrated Solutions Ltd,ITES,IT Services 
Cadsys (India) Ltd,ITES,IT Services 
Alphalogic Techsys Ltd,ITES,IT Services 
Quadpro ITeS Ltd,ITES,IT Services 
Alldigi Tech Ltd,ITES,IT Services 
Platinumone Business Services Ltd,ITES,IT Services 
TeleCanor Global Ltd,ITES,IT Services 
G-Tech Info Training Ltd,ITES,IT Services 
Triton Corp. Ltd,ITES,IT Services 
Matrimony.com Ltd,ITES,IT Services 
Riddhi Corporate Services Ltd,ITES,IT Services 
Firstsource Solutions Ltd,BPO,Customer Service
HOV Services Ltd,BPO,Customer Service
Hinduja Global Solutions Ltd,BPO,Customer Service
One Point One Solutions Ltd,BPO,Customer Service
We Win Ltd,BPO,Customer Service
HRH Next Services Ltd,BPO,Customer Service
Enser Communications Ltd,BPO,Customer Service
Plada Infotech Services Ltd,BPO,Customer Service
SecUR Credentials Ltd,BPO,Customer Service
eClerx Services Ltd,BPO,Research & Analytics
Iris Business Services Ltd,BPO,Research & Analytics
Quess Corp Ltd,BPO,Human Resources
Secmark Consultancy ltd,BPO,Human Resources
Akiko Global Services Ltd,BPO,Human Resources
